symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2007-10-09 00:00:00+00:00,167.86,171.11,166.68,170.2,39438800,5.0947649351,5.1934065772,5.0589504312,5.1657869174,1104287504,0.0,1.0
AAPL,2007-10-10 00:00:00+00:00,166.79,167.88,165.6,167.55,23842500,5.0622890714,5.0953719606,5.0261710548,5.08535604,667590667,0.0,1.0
AAPL,2007-10-11 00:00:00+00:00,162.23,171.88,153.21,169.49,58714000,4.9238872598,5.2167770585,4.6501187639,5.1442375125,1643993643,0.0,1.0
AAPL,2007-10-12 00:00:00+00:00,167.2537,167.28,161.8,163.01,35292000,5.0763629574,5.0771611959,4.9108362117,4.9475612539,988176988,0.0,1.0
AAPL,2007-10-15 00:00:00+00:00,166.98,169.57,163.5,167.98,38497500,5.0680558136,5.1466656145,4.9624333783,5.098407088,1077931077,0.0,1.0
AAPL,2007-10-16 00:00:00+00:00,169.58,170.18,165.15,165.54,38136800,5.1469691272,5.1651798919,5.0125129813,5.0243499783,1067831467,0.0,1.0
AAPL,2007-10-17 00:00:00+00:00,172.75,173.04,169.18,172.69,40271900,5.2431826673,5.2519845369,5.1348286174,5.2413615909,1127614327,0.0,1.0
AAPL,2007-10-18 00:00:00+00:00,173.5,174.19,171.05,171.5,29417000,5.2659461232,5.2868885026,5.1915855007,5.2052435742,823676823,0.0,1.0
AAPL,2007-10-19 00:00:00+00:00,170.42,174.63,170.0,174.24,46135000,5.1724641978,5.3002430634,5.1597166625,5.2884060663,1291781291,0.0,1.0
AAPL,2007-10-22 00:00:00+00:00,174.36,174.9,169.9601,170.35,58910700,5.2920482193,5.3084379075,5.1585056467,5.1703396086,1649501249,0.0,1.0
AAPL,2007-10-23 00:00:00+00:00,186.16,188.6,182.76,188.56,64113000,5.6501932582,5.7242503679,5.5469989249,5.723036317,1795165795,0.0,1.0
AAPL,2007-10-24 00:00:00+00:00,185.93,187.21,179.24,185.81,46017200,5.6432124651,5.6820620964,5.4401624387,5.6395703121,1288482888,0.0,1.0
AAPL,2007-10-25 00:00:00+00:00,182.78,185.9,181.66,184.87,34771500,5.5476059504,5.6423019268,5.513612523,5.6110401141,973602973,0.0,1.0
AAPL,2007-10-26 00:00:00+00:00,184.7,185.37,182.88,185.29,25245600,5.6058803974,5.6262157513,5.5506410779,5.6237876494,706877506,0.0,1.0
AAPL,2007-10-29 00:00:00+00:00,185.09,186.59,184.7,185.7,19305500,5.6177173945,5.6632443062,5.6058803974,5.6362316719,540554540,0.0,1.0
AAPL,2007-10-30 00:00:00+00:00,187.0,189.37,184.73,186.18,33550500,5.6756883288,5.7476208493,5.6067909357,5.6508002837,939414939,0.0,1.0
AAPL,2007-10-31 00:00:00+00:00,189.95,190.12,184.95,187.63,29761100,5.7652245885,5.7703843051,5.6134682161,5.6948096317,833311633,0.0,1.0
AAPL,2007-11-01 00:00:00+00:00,187.44,190.1,180.0,188.6,28751300,5.6890428895,5.7697772797,5.4632294074,5.7242503679,805037205,0.0,1.0
AAPL,2007-11-02 00:00:00+00:00,187.87,189.44,183.49,189.21,35789800,5.7020939376,5.7497454385,5.5691553553,5.7427646454,1002115402,0.0,1.0
AAPL,2007-11-05 00:00:00+00:00,186.18,188.96,184.24,185.29,28720600,5.6508002837,5.7351768267,5.5919188112,5.6237876494,804177604,0.0,1.0
AAPL,2007-11-06 00:00:00+00:00,191.79,192.0,185.27,187.05,34097400,5.8210709335,5.8274447012,5.6231806239,5.6772058925,954728154,0.0,1.0
AAPL,2007-11-07 00:00:00+00:00,186.2999,192.68,186.13,190.61,35511700,5.6544394015,5.8480835678,5.64928272,5.7852564296,994328594,0.0,1.0
AAPL,2007-11-08 00:00:00+00:00,175.4663,186.9,167.77,186.67,67513500,5.3256258342,5.6726532013,5.0920333204,5.6656724082,1890379890,0.0,1.0
AAPL,2007-11-09 00:00:00+00:00,165.37,175.12,165.21,171.15,54513600,5.0191902616,5.3151151879,5.0143340577,5.1946206282,1526382326,0.0,1.0
AAPL,2007-11-12 00:00:00+00:00,153.76,167.7,150.63,165.28,63180900,4.6668119649,5.0899087312,4.5718124757,5.0164586469,1769066969,0.0,1.0
AAPL,2007-11-13 00:00:00+00:00,169.96,170.98,153.76,160.85,62123100,5.1585026115,5.1894609115,4.6668119649,4.882002501,1739448539,0.0,1.0
AAPL,2007-11-14 00:00:00+00:00,166.11,177.57,163.74,177.16,51756000,5.0416502048,5.3894758104,4.9697176842,5.3770317878,1449169449,0.0,1.0
AAPL,2007-11-15 00:00:00+00:00,164.3,169.59,160.3,166.39,53121800,4.9867143979,5.14727264,4.8653093,5.0501485616,1487411887,0.0,1.0
AAPL,2007-11-16 00:00:00+00:00,166.39,167.02,159.33,165.3,49410500,5.0501485616,5.0692698645,4.8358685637,5.0170656724,1383495383,0.0,1.0
AAPL,2007-11-19 00:00:00+00:00,163.95,168.2,162.1,166.1,41229600,4.9760914519,5.1050843684,4.9199415941,5.041346692,1154429954,0.0,1.0
AAPL,2007-11-20 00:00:00+00:00,168.85,171.79,163.53,165.67,55130100,5.1248126968,5.2140454438,4.9633439166,5.028295644,1543644343,0.0,1.0
